"Symbol","piotroskiScore","quickRatio","currentRatio","priceToOperatingCashFlowsRatio","ebitda","ROA","ROE","debtEquityRatio","netProfitMargin","interestCoverage"
"NUAN","4","0.400460387203519","0.650127268947346","65.4869566183033","149455000","-0.00789156727896244","-0.0163468372423596","1.07143101801051","-1.9617154991379","1.06414264212111"
"GPC","8","0.381770768521798","1.17850401643495","14.8566372776199","1553467000","0.0626242762210023","0.257478209503882","3.10788136161309","4.76293433510806","14.4616251005632"
"WRB","7",NA,NA,"7.1695118618245","1551242000","0.0318667583108539","0.153688307444554","3.82062858456119","10.7844046175212","0"
"SEDG","4","2.33290427490713","3.25847850550572","52.0177288365425","236038000","0.0584946370407253","0.129133560145919","1.20761366646336","8.61413590038012","22.3234184718181"
"CPT","7","1.82090691711561","1.83700844112817","27.9661031193124","823789000","0.0380989381184197","0.0724020783849396","0.883987573526083","26.5749375866245","0"
"INCY","4","3.47005061406425","3.65052650800414","21.8726984455188","626380000","0.192279204889495","0.251612730384371","0.308580043946903","31.7647752193625","-307.011006289308"
"WAB","8","0.670103092783505","1.31683848797251","15.553039543616","1.348e+09","0.0302373469166576","0.0547005195569062","0.805313204587786","7.13372538992585","4.94915254237288"
"TRGP","7","0.648422884489885","0.769980422014357","5.84306319518867","1344500000","0.00468168488052498","0.0353911919673924","4.98533651456407","0.420063953556974","2.22944057746842"
"CLX","6","0.448929961089494","0.889591439688716","17.8012203561364","1.201e+09","0.112093463845911","1.72749391727494","13.970802919708","9.67170685192753","0"
"LSXMA","7","0.254924681344148","0.408072614909231","7.89672951081837","1.771e+09","0.0189114099892656","0.0745395719263315","2.49788451966152","6.88822447102116","3.87272727272727"
"TTWO","5","1.46968987096789","1.88861443181793","22.0305844672581","916836000","0.0976882388792177","0.176742223337371","0.809247718713572","17.460000260913","101.399065571129"
"AES","6","0.547971259509721","1.13186813186813","7.65284662594637","1.425e+09","-0.0124078512271335","-0.146175839885633","10.1486776268763","-3.67112467462526","0"
